time_stamp,last_seen,sensor_index,name,model,firmware_version,latitude,longitude,altitude,temperature_a,temperature_b,Time Executed,pm2.5_10minute_a,pm2.5_10minute_b,PM2.5_Diff,PM2.5_RelDiff,PM2.5_JumpA,PM2.5_JumpB,PM2.5_JumpRelDiff,PM2.5 QA Flag,PM2.5 Uncorrected Avg,humidity_a,humidity_b,RH_Diff,RH_JumpA,RH_JumpB,RH_JumpDiff,RH QA Flag,RH Avg,PM2.5 Corrected
08-10-2022 07:11:04,08-02-2022 16:49:54,151708,"12 Noyes Street, Concord, NH",PA-II-SD,7.00,43.192043,-71.54158,291,93,94,08-10-2022 07:11:02,7.9,7.6,0.3,4.0,0,0,0,T,,42,41,1.0,0,0,0.0,Passed,41.5,
08-10-2022 07:11:04,08-10-2022 07:10:25,143456,Junder22,PA-II,7.00,43.08963,-71.50244,619,72,0,08-10-2022 07:11:02,6.1,6.3,0.2,3.0,0,0,0,Passed,6.2,70,0,70.0,0,0,0.0,RHZB,70,1.04
08-10-2022 07:11:04,08-10-2022 07:10:46,151702,NHDES_katerr,PA-II-SD,7.00,43.11861,-71.61618,885,0,0,08-10-2022 07:11:02,7.5,7.0,0.5,7.0,0,0,0,Passed,7.25,0,0,0.0,0,0,0.0,RHZAB,,
08-10-2022 07:11:05,08-10-2022 07:08:35,151700,"12 Noyes Street, Concord, NH",PA-II-SD,7.00,43.19211,-71.54146,286,72,0,08-10-2022 07:11:02,4.3,4.9,0.6,13.0,0,0,0,Passed,4.6,66,0,66.0,0,0,0.0,RHZB,66,0.35
08-10-2022 07:11:05,08-10-2022 07:09:07,135984,NH7,PA-II-SD,7.00,43.565853,-71.49613,708,69,0,08-10-2022 07:11:02,2.0,1.0,1.0,67.0,0,0,0,Passed,1.5,100,0,100.0,0,0,0.0,RHZB,100,-3.93
08-10-2022 07:11:06,08-07-2022 09:28:29,151712,NHDES Max,PA-II-SD,7.00,43.289764,-71.56426,370,86,0,08-10-2022 07:11:02,14.0,13.2,0.8,6.0,0,0,0,T,,59,0,59.0,0,0,0.0,RHZB,59,
08-10-2022 07:11:06,08-10-2022 07:10:02,151710,NH2,PA-II-SD,7.00,43.132477,-71.458374,230,73,0,08-10-2022 07:11:02,7.4,6.2,1.2,18.0,0,0,0,Passed,6.8,64,0,64.0,0,0,0.0,RHZB,64,1.83
08-10-2022 07:11:06,08-10-2022 07:09:44,151706,MChase_ParkPl,PA-II-SD,7.00,43.00408,-71.17704,194,72,0,08-10-2022 07:11:02,4.9,0.0,4.9,200.0,0,0,0,ZB,,67,0,67.0,0,0,0.0,RHZB,67,
08-10-2022 07:11:07,08-10-2022 07:09:04,12212,KSC 04,PA-II,7.00,42.93053,-72.27235,476,76,0,08-10-2022 07:11:02,3.3,2.8,0.5,16.0,0,0,0,Passed,3.05,74,0,74.0,0,0,0.0,RHZB,74,-1.16
08-10-2022 07:11:07,07-27-2022 09:02:30,12178,KSC 15,PA-II,7.00,42.899563,-71.46465,301,85,0,08-10-2022 07:11:02,3.8,3.1,0.7,20.0,0,0,0,T,,35,0,35.0,0,0,0.0,RHZB,35,
08-10-2022 07:11:07,08-10-2022 07:09:13,75981,Team Woofy,PA-II,7.00,42.97,-71.06,136,75,0,08-10-2022 07:11:02,4.4,4.0,0.4,10.0,0,0,0,Passed,4.2,58,0,58.0,0,0,0.0,RHZB,58,0.66
08-10-2022 07:11:08,08-10-2022 07:09:01,115703,"Waterville Valley, NH",PA-II,7.00,43.953625,-71.50886,1493,70,0,08-10-2022 07:11:02,0.0,300.9,300.9,200.0,0,0,0,ZA,,70,0,70.0,0,0,0.0,RHZB,70,
08-10-2022 07:11:08,08-10-2022 07:10:12,12050,Franconia,PA-II,7.00,44.220573,-71.732315,999,74,0,08-10-2022 07:11:02,3.3,3.3,0.0,0.0,0,0,0,Passed,3.3,55,0,55.0,0,0,0.0,RHZB,55,0.32
08-10-2022 07:11:09,08-10-2022 07:10:19,23443,KNHPLAIN15,PA-II,7.00,43.55614,-72.37099,523,72,0,08-10-2022 07:11:02,5.5,5.0,0.5,10.0,0,0,0,Passed,5.25,61,0,61.0,0,0,0.0,RHZB,61,1.09
08-10-2022 07:11:09,08-10-2022 07:09:58,58135,NNF,PA-II,7.00,42.883873,-71.972916,808,75,0,08-10-2022 07:11:02,6.6,25.6,19.0,118.0,0,0,0,QQ,,67,0,67.0,0,0,0.0,RHZB,67,
08-10-2022 07:11:09,08-10-2022 07:08:37,148555,Londonderry,PA-II-FLEX,7.00,42.90495,-71.386765,363,0,0,08-10-2022 07:11:02,4.0,4.8,0.8,18.0,0,0,0,Passed,4.4,0,0,0.0,0,0,0.0,RHZAB,,
08-10-2022 07:11:10,08-10-2022 07:09:58,146644,Jones Ave,PA-II-FLEX,7.00,43.06015,-70.75893,35,71,72,08-10-2022 07:11:02,3.4,2.7,0.7,23.0,0,0,0,Passed,3.05,62,67,5.0,0,0,0.0,Passed,64.5,-0.49
08-10-2022 07:11:10,10-17-2019 06:48:09,12188,KSC 16 Old,PA-II,4.11,42.92705,-72.27961,475,95,0,08-10-2022 07:11:02,0.0,0.0,0.0,0,0,0,0,T,,77,0,77.0,0,0,0.0,RHZB,77,
08-10-2022 07:11:10,08-10-2022 07:10:19,1224,KSC 17,PA-II,6.06a,42.938034,-72.2593,792,75,0,08-10-2022 07:11:02,3.1,0.0,3.1,200.0,0,0,0,ZB,,87,0,87.0,0,0,0.0,RHZB,87,
08-10-2022 07:11:11,08-10-2022 07:09:31,1202,KSC 19,PA-II,6.06a,42.936554,-72.27102,488,0,0,08-10-2022 07:11:02,3.8,3.6,0.2,5.0,0,0,0,Passed,3.7,0,0,0.0,0,0,0.0,RHZAB,,
08-10-2022 07:11:11,02-20-2022 01:55:14,25985,KSC 20,PA-II,6.01,42.927326,-72.27998,477,78,0,08-10-2022 07:11:02,1.1,1.0,0.1,10.0,0,0,0,T,,22,0,22.0,0,0,0.0,RHZB,22,
08-10-2022 07:21:04,08-02-2022 16:49:54,151708,"12 Noyes Street, Concord, NH",PA-II-SD,7.00,43.192043,-71.54158,291,93,94,08-10-2022 07:21:02,7.9,7.6,0.3,4.0,0.0,0.0,0,T,,42,41,1.0,0.0,0.0,0.0,Passed,41.5,
08-10-2022 07:21:04,08-10-2022 07:18:25,143456,Junder22,PA-II,7.00,43.08963,-71.50244,619,72,0,08-10-2022 07:21:02,6.2,6.4,0.2,3.0,0.1,0.1,0.1,Passed,6.3,70,0,70.0,0.0,0,0.0,RHZB,70,1.1
08-10-2022 07:21:04,08-10-2022 07:18:46,151702,NHDES_katerr,PA-II-SD,7.00,43.11861,-71.61618,885,0,0,08-10-2022 07:21:02,7.6,7.1,0.5,7.0,0.1,0.1,0.1,Passed,7.35,0,0,0.0,0,0,0.0,RHZAB,,
08-10-2022 07:21:04,08-10-2022 07:18:35,151700,"12 Noyes Street, Concord, NH",PA-II-SD,7.00,43.19211,-71.54146,286,72,0,08-10-2022 07:21:02,4.5,5.0,0.5,11.0,0.2,0.1,0.15000000000000002,Passed,4.75,66,0,66.0,0.0,0,0.0,RHZB,66,0.44
08-10-2022 07:21:04,08-10-2022 07:19:07,135984,NH7,PA-II-SD,7.00,43.565853,-71.49613,708,69,0,08-10-2022 07:21:02,10.5,9.8,0.7,7.0,8.5,8.8,8.65,Passed,10.15,100,0,100.0,0.0,0,0.0,RHZB,100,1.35
08-10-2022 07:21:05,08-07-2022 09:28:29,151712,NHDES Max,PA-II-SD,7.00,43.289764,-71.56426,370,86,0,08-10-2022 07:21:02,14.0,13.2,0.8,6.0,0.0,0.0,0,T,,59,0,59.0,0.0,0,0.0,RHZB,59,
08-10-2022 07:21:05,08-10-2022 07:20:02,151710,NH2,PA-II-SD,7.00,43.132477,-71.458374,230,73,0,08-10-2022 07:21:02,8.0,6.4,1.6,22.0,0.6,0.2,0.4,Passed,7.2,64,0,64.0,0.0,0,0.0,RHZB,64,2.07
08-10-2022 07:21:05,08-10-2022 07:19:44,151706,MChase_ParkPl,PA-II-SD,7.00,43.00408,-71.17704,194,72,0,08-10-2022 07:21:02,5.0,0.0,5.0,200.0,0.1,0.0,0.05,ZB,,66,0,66.0,1.0,0,1.0,RHZB,66,
08-10-2022 07:21:05,08-10-2022 07:19:04,12212,KSC 04,PA-II,7.00,42.93053,-72.27235,476,76,0,08-10-2022 07:21:02,3.4,2.9,0.5,16.0,0.1,0.1,0.1,Passed,3.15,73,0,73.0,1.0,0,1.0,RHZB,73,-1.03
08-10-2022 07:21:06,07-27-2022 09:02:30,12178,KSC 15,PA-II,7.00,42.899563,-71.46465,301,85,0,08-10-2022 07:21:02,3.8,3.1,0.7,20.0,0.0,0.0,0,T,,35,0,35.0,0.0,0,0.0,RHZB,35,
08-10-2022 07:21:06,08-10-2022 07:19:14,75981,Team Woofy,PA-II,7.00,42.97,-71.06,136,75,0,08-10-2022 07:21:02,4.5,4.0,0.5,12.0,0.1,0.0,0.05,Passed,4.25,58,0,58.0,0.0,0,0.0,RHZB,58,0.69
08-10-2022 07:21:06,08-10-2022 07:19:01,115703,"Waterville Valley, NH",PA-II,7.00,43.953625,-71.50886,1493,71,0,08-10-2022 07:21:02,0.0,300.9,300.9,200.0,0.0,0.0,0,ZA,,69,0,69.0,1.0,0,1.0,RHZB,69,
08-10-2022 07:21:06,08-10-2022 07:18:12,12050,Franconia,PA-II,7.00,44.220573,-71.732315,999,74,0,08-10-2022 07:21:02,3.2,3.3,0.1,3.0,0.1,0.0,0.05,Passed,3.25,55,0,55.0,0.0,0,0.0,RHZB,55,0.29
