time_stamp,last_seen,sensor_index,name,model,firmware_version,latitude,longitude,altitude,temperature_a,temperature_b,Time Executed,pm2.5_10minute_a,pm2.5_10minute_b,PM2.5_Diff,PM2.5_RelDiff,PM2.5_JumpA,PM2.5_JumpB,PM2.5_JumpRelDiff,PM2.5 QA Flag,PM2.5 Uncorrected Avg,humidity_a,humidity_b,RH_Diff,RH_JumpA,RH_JumpB,RH_JumpDiff,RH QA Flag,RH Avg,PM2.5 Corrected
08-12-2022 00:01:03,08-02-2022 16:49:54,151708,"12 Noyes Street, Concord, NH",PA-II-SD,7.00,43.192043,-71.54158,291,93,94,08-12-2022 00:01:02,7.9,7.6,0.3,4.0,0,0,0,T,,42,41,1.0,0,0,0.0,Passed,41.5,
08-12-2022 00:01:03,08-11-2022 23:58:47,143456,Junder22,PA-II,7.00,43.08963,-71.50244,619,73,0,08-12-2022 00:01:02,3.3,4.0,0.7,19.0,0,0,0,Passed,3.65,60,0,60.0,0,0,0.0,RHZB,60,0.19
08-12-2022 00:01:04,08-11-2022 23:58:59,151702,NHDES_katerr,PA-II-SD,7.00,43.11861,-71.61618,885,0,0,08-12-2022 00:01:02,4.2,4.3,0.1,2.0,0,0,0,Passed,4.25,0,0,0.0,0,0,0.0,RHZAB,,
08-12-2022 00:01:04,08-11-2022 23:58:50,151700,"12 Noyes Street, Concord, NH",PA-II-SD,7.00,43.19211,-71.54146,286,74,0,08-12-2022 00:01:02,2.9,3.2,0.3,10.0,0,0,0,Passed,3.05,57,0,57.0,0,0,0.0,RHZB,57,0.03
08-12-2022 00:01:04,08-11-2022 23:57:29,135984,NH7,PA-II-SD,7.00,43.565853,-71.49613,708,66,0,08-12-2022 00:01:02,4.8,4.5,0.3,6.0,0,0,0,T,,94,0,94.0,0,0,0.0,RHZB,94,
08-12-2022 00:01:05,08-07-2022 09:28:29,151712,NHDES Max,PA-II-SD,7.00,43.289764,-71.56426,370,86,0,08-12-2022 00:01:02,14.0,13.2,0.8,6.0,0,0,0,T,,59,0,59.0,0,0,0.0,RHZB,59,
08-12-2022 00:01:05,08-11-2022 23:58:31,151710,NH2,PA-II-SD,7.00,43.132477,-71.458374,230,72,0,08-12-2022 00:01:02,5.8,4.4,1.4,27.0,0,0,0,Passed,5.1,60,0,60.0,0,0,0.0,RHZB,60,1.07
08-12-2022 00:01:05,08-11-2022 23:59:57,151706,MChase_ParkPl,PA-II-SD,7.00,43.00408,-71.17704,194,73,0,08-12-2022 00:01:02,11.5,0.0,11.5,200.0,0,0,0,ZB,,67,0,67.0,0,0,0.0,RHZB,67,
08-12-2022 00:01:06,08-11-2022 23:59:43,12212,KSC 04,PA-II,7.00,42.93053,-72.27235,476,75,0,08-12-2022 00:01:02,5.9,4.9,1.0,19.0,0,0,0,Passed,5.4,67,0,67.0,0,0,0.0,RHZB,67,0.76
08-12-2022 00:01:06,07-27-2022 09:02:30,12178,KSC 15,PA-II,7.00,42.899563,-71.46465,301,85,0,08-12-2022 00:01:02,3.8,3.1,0.7,20.0,0,0,0,T,,35,0,35.0,0,0,0.0,RHZB,35,
08-12-2022 00:01:06,08-12-2022 00:00:38,75981,Team Woofy,PA-II,7.00,42.97,-71.06,136,77,0,08-12-2022 00:01:02,12.8,12.2,0.6,5.0,0,0,0,Passed,12.5,61,0,61.0,0,0,0.0,RHZB,61,5.51
08-12-2022 00:01:06,08-11-2022 23:59:25,115703,"Waterville Valley, NH",PA-II,7.00,43.953625,-71.50886,1493,67,0,08-12-2022 00:01:02,0.1,201.0,200.9,200.0,0,0,0,QQ,,68,0,68.0,0,0,0.0,RHZB,68,
08-12-2022 00:01:07,08-12-2022 00:00:35,12050,Franconia,PA-II,7.00,44.220573,-71.732315,999,72,0,08-12-2022 00:01:02,14.4,14.0,0.4,3.0,0,0,0,Passed,14.2,58,0,58.0,0,0,0.0,RHZB,58,6.76
08-12-2022 00:01:07,08-11-2022 23:58:45,23443,KNHPLAIN15,PA-II,7.00,43.55614,-72.37099,523,71,0,08-12-2022 00:01:02,7.5,6.6,0.9,13.0,0,0,0,Passed,7.05,69,0,69.0,0,0,0.0,RHZB,69,1.63
08-12-2022 00:01:07,08-11-2022 23:58:57,58135,NNF,PA-II,7.00,42.883873,-71.972916,808,72,0,08-12-2022 00:01:02,6.1,4.3,1.8,35.0,0,0,0,Passed,5.2,62,0,62.0,0,0,0.0,RHZB,62,0.99
08-12-2022 00:01:07,08-11-2022 23:58:52,148555,Londonderry,PA-II-FLEX,7.00,42.90495,-71.386765,363,0,0,08-12-2022 00:01:02,2.5,3.3,0.8,28.0,0,0,0,Passed,2.9,0,0,0.0,0,0,0.0,RHZAB,,
