time_stamp,last_seen,sensor_index,name,model,firmware_version,latitude,longitude,altitude,temperature_a,temperature_b,Time Executed,pm2.5_10minute_a,pm2.5_10minute_b,PM2.5_Diff,PM2.5_RelDiff,PM2.5_JumpA,PM2.5_JumpB,PM2.5_JumpRelDiff,PM2.5 QA Flag,PM2.5 Uncorrected Avg,humidity_a,humidity_b,RH_Diff,RH_JumpA,RH_JumpB,RH_JumpDiff,RH QA Flag,RH Avg,PM2.5 Corrected
08-08-2022 12:30:07,08-02-2022 16:49:54,151708,"12 Noyes Street, Concord, NH",PA-II-SD,7.00,43.192043,-71.54158,291,93,94,08-08-2022 12:30:03,7.9,7.6,0.3,4.0,0,0,0.0,T,,42,41,1.0,0,0,0.0,Passed,41.5,
08-08-2022 12:30:08,08-08-2022 12:28:01,143456,Junder22,PA-II,7.00,43.08963,-71.50244,619,97,0,08-08-2022 12:30:03,9.3,10.2,0.9,-9.0,0,0,0.0,Passed,9.75,44,0,44.0,0,0,0.0,RHZB,44,5.03
08-08-2022 12:30:09,08-08-2022 12:28:28,151702,NHDES_katerr,PA-II-SD,7.00,43.11861,-71.61618,885,0,0,08-08-2022 12:30:03,11.0,10.4,0.6,6.0,0,0,0.0,Passed,10.7,0,0,0.0,0,0,0.0,RHZAB,,
08-08-2022 12:30:09,08-08-2022 12:28:19,151700,"12 Noyes Street, Concord, NH",PA-II-SD,7.00,43.19211,-71.54146,286,95,0,08-08-2022 12:30:03,8.8,9.7,0.9,-10.0,0,0,0.0,Passed,9.25,42,0,42.0,0,0,0.0,RHZB,42,4.86
08-08-2022 12:30:10,08-08-2022 12:28:44,135984,NH7,PA-II-SD,7.00,43.565853,-71.49613,708,99,0,08-08-2022 12:30:03,10.0,9.3,0.7,7.0,0,0,0.0,Passed,9.65,49,0,49.0,0,0,0.0,RHZB,49,4.62
08-08-2022 12:30:10,08-07-2022 09:28:29,151712,NHDES Max,PA-II-SD,7.00,43.289764,-71.56426,370,86,0,08-08-2022 12:30:03,14.0,13.2,0.8,6.0,0,0,0.0,T,,59,0,59.0,0,0,0.0,RHZB,59,
08-08-2022 12:30:10,08-08-2022 12:27:33,151710,NH2,PA-II-SD,7.00,43.132477,-71.458374,230,102,0,08-08-2022 12:30:03,10.4,9.3,1.1,11.0,0,0,0.0,Passed,9.85,33,0,33.0,0,0,0.0,RHZB,33,5.86
08-08-2022 12:30:10,08-08-2022 12:27:29,151706,MChase_ParkPl,PA-II-SD,7.00,43.00408,-71.17704,194,108,0,08-08-2022 12:30:03,8.7,0.0,8.7,200.0,0,0,0.0,ZB,,31,0,31.0,0,0,0.0,RHZB,31,
08-08-2022 12:30:11,08-08-2022 12:28:57,12212,KSC 04,PA-II,7.00,42.93053,-72.27235,476,96,0,08-08-2022 12:30:03,15.1,13.9,1.2,8.0,0,0,0.0,Passed,14.5,50,0,50.0,0,0,0.0,RHZB,50,7.51
08-08-2022 12:30:11,07-27-2022 09:02:30,12178,KSC 15,PA-II,7.00,42.899563,-71.46465,301,85,0,08-08-2022 12:30:03,3.8,3.1,0.7,20.0,0,0,0.0,T,,35,0,35.0,0,0,0.0,RHZB,35,
08-08-2022 12:30:11,08-08-2022 12:27:29,75981,Team Woofy,PA-II,7.00,42.97,-71.06,136,99,0,08-08-2022 12:30:03,12.2,10.8,1.4,12.0,0,0,0.0,Passed,11.5,42,0,42.0,0,0,0.0,RHZB,42,6.23
08-08-2022 12:30:11,08-08-2022 12:28:37,115703,"Waterville Valley, NH",PA-II,7.00,43.953625,-71.50886,1493,92,0,08-08-2022 12:30:03,8.5,258.9,250.4,-187.0,0,0,0.0,Passed,133.7,44,0,44.0,0,0,0.0,RHZB,44,80.64
