time_stamp,last_seen,sensor_index,name,model,firmware_version,latitude,longitude,altitude,temperature_a,temperature_b,Time Executed,pm2.5_10minute_a,pm2.5_10minute_b,PM2.5_Diff,PM2.5_RelDiff,PM2.5_JumpA,PM2.5_JumpB,PM2.5_JumpRelDiff,PM2.5 QA Flag,PM2.5 Uncorrected Avg,humidity_a,humidity_b,RH_Diff,RH_JumpA,RH_JumpB,RH_JumpDiff,RH QA Flag,RH Avg,PM2.5 Corrected
08-14-2022 00:01:04,08-02-2022 16:49:54,151708,"12 Noyes Street, Concord, NH",PA-II-SD,7.00,43.192043,-71.54158,291,93,94,08-14-2022 00:01:03,7.9,7.6,0.3,4.0,0,0,0,T,,42,41,1.0,0,0,0.0,Passed,41.5,
08-14-2022 00:01:04,08-13-2022 23:59:17,143456,Junder22,PA-II,7.00,43.08963,-71.50244,619,68,0,08-14-2022 00:01:03,1.3,1.4,0.1,7.0,0,0,0,Passed,1.35,58,0,58.0,0,0,0.0,RHZB,58,-1.08
08-14-2022 00:01:04,08-13-2022 08:01:09,151702,NHDES_katerr,PA-II-SD,7.00,43.11861,-71.61618,885,0,0,08-14-2022 00:01:03,2.0,2.1,0.1,5.0,0,0,0,T,,0,0,0.0,0,0,0.0,RHZAB,,
08-14-2022 00:01:05,08-13-2022 23:59:10,151700,"12 Noyes Street, Concord, NH",PA-II-SD,7.00,43.19211,-71.54146,286,67,0,08-14-2022 00:01:03,2.3,2.6,0.3,12.0,0,0,0,Passed,2.45,61,0,61.0,0,0,0.0,RHZB,61,-0.62
08-14-2022 00:01:05,08-13-2022 23:59:54,135984,NH7,PA-II-SD,7.00,43.565853,-71.49613,708,63,0,08-14-2022 00:01:03,2.4,2.1,0.3,13.0,0,0,0,Passed,2.25,78,0,78.0,0,0,0.0,RHZB,78,-1.93
08-14-2022 00:01:05,08-07-2022 09:28:29,151712,NHDES Max,PA-II-SD,7.00,43.289764,-71.56426,370,86,0,08-14-2022 00:01:03,14.0,13.2,0.8,6.0,0,0,0,T,,59,0,59.0,0,0,0.0,RHZB,59,
08-14-2022 00:01:05,08-13-2022 23:59:05,151710,NH2,PA-II-SD,7.00,43.132477,-71.458374,230,67,0,08-14-2022 00:01:03,10.4,8.7,1.7,18.0,0,0,0,Passed,9.55,63,0,63.0,0,0,0.0,RHZB,63,3.58
08-14-2022 00:01:06,08-14-2022 00:00:14,151706,MChase_ParkPl,PA-II-SD,7.00,43.00408,-71.17704,194,68,0,08-14-2022 00:01:03,5.1,0.0,5.1,200.0,0,0,0,ZB,,60,0,60.0,0,0,0.0,RHZB,60,
08-14-2022 00:01:06,08-13-2022 23:58:32,12212,KSC 04,PA-II,7.00,42.93053,-72.27235,476,67,0,08-14-2022 00:01:03,2.6,2.0,0.6,26.0,0,0,0,Passed,2.3,75,0,75.0,0,0,0.0,RHZB,75,-1.69
08-14-2022 00:01:06,07-27-2022 09:02:30,12178,KSC 15,PA-II,7.00,42.899563,-71.46465,301,85,0,08-14-2022 00:01:03,3.8,3.1,0.7,20.0,0,0,0,T,,35,0,35.0,0,0,0.0,RHZB,35,
