time_stamp,last_seen,sensor_index,name,model,firmware_version,latitude,longitude,altitude,temperature_a,temperature_b,Time Executed,pm2.5_10minute_a,pm2.5_10minute_b,PM2.5_Diff,PM2.5_RelDiff,PM2.5_JumpA,PM2.5_JumpB,PM2.5_JumpRelDiff,PM2.5 QA Flag,PM2.5 Uncorrected Avg,humidity_a,humidity_b,RH_Diff,RH_JumpA,RH_JumpB,RH_JumpDiff,RH QA Flag,RH Avg,PM2.5 Corrected
08-24-2022 15:46:48,08-24-2022 15:44:10,143456,Junder22,PA-II,7.00,43.08963,-71.50244,619,86,None,08-24-2022 15:46:47,3.3,3.5,0.2,6.0,0,0,0,Passed,3.4,50,0,50.0,0,0,0.0,RHZB,50,0.73
08-24-2022 15:46:48,08-13-2022 08:01:09,151702,NHDES_katerr,PA-II-SD,7.00,43.11861,-71.61618,885,0,0,08-24-2022 15:46:47,2.0,2.1,0.1,5.0,0,0,0,T,,0,0,0.0,0,0,0.0,RHZAB,,
08-24-2022 15:46:48,08-24-2022 15:45:01,151700,"12 Noyes Street, Concord, NH",PA-II-SD,7.00,43.19211,-71.54146,286,86,0,08-24-2022 15:46:47,2.4,3.0,0.6,22.0,0,0,0,Passed,2.7,46,0,46.0,0,0,0.0,RHZB,46,0.59
08-24-2022 15:46:49,08-24-2022 15:44:12,135984,NH7,PA-II-SD,7.00,43.565853,-71.49613,708,88,0,08-24-2022 15:46:47,3.7,2.9,0.8,24.0,0,0,0,Passed,3.3,58,0,58.0,0,0,0.0,RHZB,58,0.11
08-24-2022 15:46:49,08-07-2022 09:28:29,151712,NHDES Max,PA-II-SD,7.00,43.289764,-71.56426,370,86,0,08-24-2022 15:46:47,14.0,13.2,0.8,6.0,0,0,0,T,,59,0,59.0,0,0,0.0,RHZB,59,
08-24-2022 15:46:49,08-24-2022 15:44:15,151710,NH2,PA-II-SD,7.00,43.132477,-71.458374,230,88,0,08-24-2022 15:46:47,6.1,4.8,1.3,24.0,0,0,0,Passed,5.45,45,0,45.0,0,0,0.0,RHZB,45,2.33
08-24-2022 15:46:50,08-24-2022 15:45:14,157973,MChase_PA2,PA-II-SD,7.00,43.00423,-71.17697,193,92,93,08-24-2022 15:46:47,0.1,0.1,0.0,0.0,0,0,0,Passed,0.1,43,43,0.0,0,0,0.0,Passed,43.0,-0.79
