time_stamp,Location,name,latitude,longitude,altitude,model,firmware_version,last_seen,humidity,channel a,pm2.5,pm2.5_10minute,pm2.5_60minute,pm2.5_24hour,channel b,pm2.5,pm2.5_10minute,pm2.5_60minute,pm2.5_24hour,A,B,Diff,SD,JumpA,JumpB,JumpSD,Q&A,Uncorrected Average,Corrected Value
07-28-2022 08:10:38,Dunbarton,NHDES_katerr,43.11861,-71.61618,885,PA-II-SD,7.00,07-28-2022 08:10:03,None,,7.5,7.2,7.0,6.4,,7.3,7.2,7.1,6.2,7.2,7.2,0.0,0.0,0.0,0.0,0.0,RH,7.2,1.02
07-28-2022 08:10:40,Concord,"12 Noyes Street, Concord, NH",43.19211,-71.54146,286,PA-II-SD,7.00,07-28-2022 08:08:24,64,,10.2,8.8,6.7,6.1,,11.7,10.1,7.7,6.7,8.8,10.1,1.3,0.65,0.0,0.0,0.0,Passed,9.45,3.44
07-28-2022 08:10:40,Laconia,NH7,43.565853,-71.49613,708,PA-II-SD,7.00,07-28-2022 08:10:22,63,,7.1,7.4,7.8,6.8,,7.8,7.4,7.9,6.5,7.4,7.4,0.0,0.0,0.1,0.0,0.05,Passed,7.4,2.26
07-28-2022 08:10:41,Concord,NHDES Max,43.289764,-71.56426,370,PA-II-SD,7.00,07-28-2022 08:08:48,63,,7.4,7.3,6.4,6.4,,7.7,7.2,6.4,6.2,7.3,7.2,0.1,0.05,0.0,0.0,0.0,Passed,7.25,2.17
07-28-2022 08:10:42,Suncook,NH2,43.132477,-71.458374,230,PA-II-SD,7.00,07-28-2022 08:09:32,57,,13.4,12.3,9.9,9.0,,11.9,11.6,9.1,8.0,12.3,11.6,0.7,0.35,0.1,0.0,0.05,Passed,11.95,5.46
07-28-2022 08:10:43,Raymond,MChase_ParkPl,43.00408,-71.17704,194,PA-II-SD,7.00,07-28-2022 08:07:54,62,,9.8,8.4,7.3,7.2,,0.0,0.0,0.0,0.3,8.4,0.0,8.4,4.2,0.0,0.0,0.0,Passed,4.2,0.38
07-28-2022 08:10:44,Keene,KSC 04,42.93053,-72.27235,476,PA-II,7.00,07-28-2022 08:09:58,71,,9.2,8.6,7.6,7.9,,7.6,7.3,6.6,7.2,8.6,7.3,1.3,0.65,0.1,0.1,0.0,Passed,7.95,2.04
07-28-2022 08:10:45,Merrimack,KSC 15,42.899563,-71.46465,301,PA-II,7.00,07-27-2022 09:02:30,35,,3.7,3.8,4.4,9.3,,2.6,3.1,3.8,8.7,3.8,3.1,0.7,0.35,0.0,0.0,0.0,Passed,3.45,1.81
07-28-2022 08:11:10,Concord,"12 Noyes Street, Concord, NH",43.192043,-71.54158,291,PA-II-SD,7.00,07-28-2022 08:08:59,64,,8.0,6.9,4.5,4.3,,7.7,6.4,4.2,4.2,6.9,6.4,0.5,0.25,0.0,0.0,0.0,Passed,6.65,1.74
07-28-2022 08:11:10,Bow,Junder22,43.08963,-71.50244,619,PA-II,7.00,07-28-2022 08:09:49,64,,7.3,7.1,6.1,6.0,,8.3,7.7,6.6,6.4,7.1,7.7,0.6,0.3,0.0,0.0,0.0,Passed,7.4,2.19
07-28-2022 08:11:11,Dunbarton,NHDES_katerr,43.11861,-71.61618,885,PA-II-SD,7.00,07-28-2022 08:10:03,None,,7.5,7.2,7.0,6.4,,7.3,7.2,7.1,6.2,7.2,7.2,0.0,0.0,0.0,0.0,0.0,RH,7.2,1.02
07-28-2022 08:11:13,Concord,"12 Noyes Street, Concord, NH",43.19211,-71.54146,286,PA-II-SD,7.00,07-28-2022 08:10:23,64,,10.4,8.9,6.8,6.1,,11.4,10.2,7.7,6.7,8.9,10.2,1.3,0.65,0.1,0.1,0.0,Passed,9.55,3.51
07-28-2022 08:11:14,Laconia,NH7,43.565853,-71.49613,708,PA-II-SD,7.00,07-28-2022 08:10:22,63,,7.1,7.4,7.8,6.8,,7.8,7.4,7.9,6.5,7.4,7.4,0.0,0.0,0.0,0.0,0.0,Passed,7.4,2.26
07-28-2022 08:11:15,Concord,NHDES Max,43.289764,-71.56426,370,PA-II-SD,7.00,07-28-2022 08:08:48,63,,7.4,7.3,6.4,6.4,,7.7,7.2,6.4,6.2,7.3,7.2,0.1,0.05,0.0,0.0,0.0,Passed,7.25,2.17
07-28-2022 08:11:15,Suncook,NH2,43.132477,-71.458374,230,PA-II-SD,7.00,07-28-2022 08:09:32,57,,13.4,12.3,9.9,9.0,,11.9,11.6,9.1,8.0,12.3,11.6,0.7,0.35,0.0,0.0,0.0,Passed,11.95,5.46
07-28-2022 08:11:16,Raymond,MChase_ParkPl,43.00408,-71.17704,194,PA-II-SD,7.00,07-28-2022 08:09:54,62,,9.8,8.5,7.4,7.2,,0.0,0.0,0.0,0.3,8.5,0.0,8.5,4.25,0.1,0.0,0.05,Passed,4.25,0.41
