api_version,time_stamp,data_time_stamp,sensor_index,last_modified,date_created,last_seen,private,is_owner,name,icon,location_type,model,hardware,led_brightness,firmware_version,rssi,uptime,pa_latency,memory,position_rating,latitude,longitude,altitude,channel_state,channel_flags,channel_flags_manual,channel_flags_auto,confidence,confidence_auto,confidence_manual,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_b,analog_input,pm1.0,pm1.0_a,pm1.0_b,pm1.0_atm,pm1.0_cf_1,pm2.5,pm2.5_a,pm2.5_b,pm2.5_atm,pm2.5_cf_1,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm10.0,pm10.0_a,pm10.0_b,pm10.0_atm,pm10.0_cf_1,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b,pm1.0_atm_a,pm2.5_atm_a,pm10.0_atm_a,pm1.0_cf_1_a,pm2.5_cf_1_a,pm10.0_cf_1_a,pm1.0_atm_b,pm2.5_atm_b,pm10.0_atm_b,pm1.0_cf_1_b,pm2.5_cf_1_b,pm10.0_cf_1_b,primary_id_a,primary_key_a,primary_id_b,primary_key_b,secondary_id_a,secondary_key_a,secondary_id_b,secondary_key_b,pm2.5,pm2.5_10minute,pm2.5_30minute,pm2.5_60minute,pm2.5_6hour,pm2.5_24hour,pm2.5_1week,time_stamp,pm2.5,pm2.5_10minute,pm2.5_30minute,pm2.5_60minute,pm2.5_6hour,pm2.5_24hour,pm2.5_1week,time_stamp,pm2.5,pm2.5_10minute,pm2.5_30minute,pm2.5_60minute,pm2.5_6hour,pm2.5_24hour,pm2.5_1week,time_stamp
V1.0.11-0.0.27,07-13-2022 08:30:12,07-13-2022 08:29:51,151702,07-08-2022 11:10:02,06-29-2022 08:29:07,07-13-2022 08:29:43,0,0,NHDES_katerr,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.00,-77,7118,223,15184,0,43.11861,-71.61618,885,3,0,0,0,100,100,100,57,57,None,83,83,None,980.1,980.1,None,None,None,0.01,6.6,6.1,7.1,6.6,6.6,9.6,9.0,10.2,9.6,9.6,6.9,6.8,6.9,10.2,9.8,10.5,10.2,10.2,23.6,22.8,24.3,13.4,13.2,13.7,102.0,104.4,99.5,1570,1519,1622,419,403,435,64,66,63,2,3,2,0,1,0,0,0,0,6.11,8.96,9.8,6.11,8.96,9.8,7.1,10.15,10.53,7.1,10.15,10.53,1784461,A0IJ036DV9SKCFLE,1784463,71A9CZ5UJ4YGTUQ2,1784462,E3XRJRWK9NZW79YP,1784464,NDDV7IN0FIAG3DCJ,9.6,9.5,9.6,9.7,10.5,8.1,2.2,07-13-2022 08:30:12,9.6,9.5,9.6,9.7,10.5,8.1,2.2,07-13-2022 08:30:12,9.6,9.5,9.6,9.7,10.5,8.1,2.2,07-13-2022 08:30:12
V1.0.11-0.0.27,07-13-2022 08:30:12,07-13-2022 08:29:51,151700,07-11-2022 09:59:26,06-29-2022 08:28:56,07-13-2022 08:28:02,0,0,"12 Noyes Street, Concord, NH",0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.00,-72,2802,268,15184,5,43.19211,-71.54146,286,3,0,0,0,100,100,100,68,68,None,74,74,None,1000.99,1000.99,None,None,None,0.01,8.1,8.3,7.9,8.1,8.1,11.6,11.2,12.0,11.6,11.6,7.5,7.3,7.8,12.1,11.4,12.9,12.1,12.1,26.0,26.0,26.0,14.2,14.1,14.2,94.7,94.8,94.7,1732,1731,1733,489,490,488,71,64,78,5,3,8,0,0,1,0,0,0,8.29,11.2,11.39,8.29,11.2,11.39,7.93,11.98,12.89,7.93,11.98,12.89,1784457,PB81KISBP3EXW7K9,1784459,YZIRVQBCBJ133NTL,1784458,9LG3IVPJL6DTYT6P,1784460,0R1GJAA1UYAHT6R9,11.6,11.6,11.6,11.8,11.3,6.9,1.4,07-13-2022 08:30:12,11.6,11.6,11.6,11.8,11.3,6.9,1.4,07-13-2022 08:30:12,11.6,11.6,11.6,11.8,11.3,6.9,1.4,07-13-2022 08:30:12
V1.0.11-0.0.27,07-13-2022 08:40:12,07-13-2022 08:39:58,151708,07-12-2022 14:18:17,06-29-2022 08:29:43,07-13-2022 08:38:23,0,0,NH1,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+BME680+PMSX003-B+PMSX003-A,35,7.00,-74,2846,289,15072,5,43.192066,-71.54151,288,3,0,0,0,100,100,100,65,66,65,76,76,77,1001.59,1001.25,1001.93,68.1,68.13,0.0,3.3,3.4,3.3,3.3,3.3,6.1,6.4,5.9,6.1,6.1,3.8,3.8,3.8,7.4,7.7,7.0,7.4,7.4,None,None,None,None,None,None,None,None,None,466,501,431,403,409,398,26,25,27,0,0,0,0,0,0,0,0,0,3.39,6.41,7.74,3.39,6.41,7.74,3.27,5.89,7.0,3.27,5.89,7.0,1784473,RECLPTF41NFVAGZS,1784475,F5P8XN29WYFV4N87,1784474,SX1Z89WJKRZTSAKK,1784476,7LDKL9Q9YP56VMU9,6.1,7.4,7.7,8.0,8.2,5.0,1.0,07-13-2022 08:40:12,6.1,7.4,7.7,8.0,8.2,5.0,1.0,07-13-2022 08:40:12,6.1,7.4,7.7,8.0,8.2,5.0,1.0,07-13-2022 08:40:12
V1.0.11-0.0.27,07-13-2022 08:40:12,07-13-2022 08:39:58,143456,05-07-2022 10:46:33,01-25-2022 17:50:55,07-13-2022 08:39:34,0,0,Junder22,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.00,-77,32491,263,15672,5,43.08963,-71.50244,619,3,0,0,0,100,100,100,64,64,None,75,75,None,990.69,990.69,None,None,None,0.01,5.6,5.4,5.9,5.6,5.6,7.9,7.2,8.6,7.9,7.9,5.2,5.0,5.5,8.1,7.5,8.6,8.1,8.1,17.2,16.9,17.5,11.2,11.1,11.3,127.2,128.6,125.9,1147,1129,1166,321,303,339,49,46,52,1,1,2,0,0,0,0,0,0,5.4,7.25,7.53,5.4,7.25,7.53,5.87,8.55,8.6,5.87,8.55,8.6,1640321,DUQ1DHALIEN6DQPZ,1640325,6S4L2IFWG5GLNKG5,1640323,SJBIKJUCN4Z46AL6,1640326,GEK1ZZUK8JCHMIDW,7.9,8.6,9.1,9.5,10.6,8.1,5.8,07-13-2022 08:40:12,7.9,8.6,9.1,9.5,10.6,8.1,5.8,07-13-2022 08:40:12,7.9,8.6,9.1,9.5,10.6,8.1,5.8,07-13-2022 08:40:12
V1.0.11-0.0.27,07-13-2022 08:40:12,07-13-2022 08:39:58,151702,07-08-2022 11:10:02,06-29-2022 08:29:07,07-13-2022 08:39:43,0,0,NHDES_katerr,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.00,-80,7128,218,15184,0,43.11861,-71.61618,885,3,0,0,0,100,100,100,56,56,None,84,84,None,980.19,980.19,None,None,None,0.01,5.9,6.0,5.8,5.9,5.9,8.0,8.1,8.0,8.0,8.0,5.8,5.7,5.9,8.4,8.4,8.4,8.4,8.4,21.0,21.0,20.9,12.6,12.6,12.5,111.0,110.6,111.3,1397,1403,1391,377,386,369,52,49,55,2,2,3,0,0,0,0,0,0,6.05,8.1,8.36,6.05,8.1,8.36,5.81,7.98,8.4,5.81,7.98,8.4,1784461,A0IJ036DV9SKCFLE,1784463,71A9CZ5UJ4YGTUQ2,1784462,E3XRJRWK9NZW79YP,1784464,NDDV7IN0FIAG3DCJ,8.0,9.1,9.5,9.6,10.4,8.1,2.2,07-13-2022 08:40:12,8.0,9.1,9.5,9.6,10.4,8.1,2.2,07-13-2022 08:40:12,8.0,9.1,9.5,9.6,10.4,8.1,2.2,07-13-2022 08:40:12
V1.0.11-0.0.27,07-13-2022 08:40:13,07-13-2022 08:39:58,151700,07-11-2022 09:59:26,06-29-2022 08:28:56,07-13-2022 08:38:02,0,0,"12 Noyes Street, Concord, NH",0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.00,-68,2812,288,15184,5,43.19211,-71.54146,286,3,0,0,0,100,100,100,66,66,None,75,75,None,1001.12,1001.12,None,None,None,0.01,7.7,7.7,7.7,7.7,7.7,10.4,10.5,10.3,10.4,10.4,7.0,7.1,6.8,10.9,10.9,10.9,10.9,10.9,25.0,24.8,25.1,13.9,13.8,13.9,97.6,98.1,97.1,1665,1654,1676,466,471,461,60,62,58,2,2,2,0,0,1,0,0,0,7.69,10.5,10.94,7.69,10.5,10.94,7.7,10.26,10.94,7.7,10.26,10.94,1784457,PB81KISBP3EXW7K9,1784459,YZIRVQBCBJ133NTL,1784458,9LG3IVPJL6DTYT6P,1784460,0R1GJAA1UYAHT6R9,10.4,11.1,11.4,11.7,11.3,6.9,1.4,07-13-2022 08:40:13,10.4,11.1,11.4,11.7,11.3,6.9,1.4,07-13-2022 08:40:13,10.4,11.1,11.4,11.7,11.3,6.9,1.4,07-13-2022 08:40:13
V1.0.11-0.0.27,07-13-2022 08:50:12,07-13-2022 08:50:03,151708,07-12-2022 14:18:17,06-29-2022 08:29:43,07-13-2022 08:48:23,0,0,NH1,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+BME680+PMSX003-B+PMSX003-A,35,7.00,-75,2856,291,15072,5,43.192066,-71.54151,288,3,0,0,0,100,100,100,64,65,63,77,77,78,1001.59,1001.24,1001.94,51.5,51.54,0.0,2.7,2.5,2.9,2.7,2.7,5.6,5.5,5.7,5.6,5.6,3.3,3.7,3.0,5.8,5.8,5.8,5.8,5.8,None,None,None,None,None,None,None,None,None,427,456,399,368,366,370,22,28,16,0,0,0,0,0,0,0,0,0,2.51,5.47,5.8,2.51,5.47,5.8,2.94,5.71,5.75,2.94,5.71,5.75,1784473,RECLPTF41NFVAGZS,1784475,F5P8XN29WYFV4N87,1784474,SX1Z89WJKRZTSAKK,1784476,7LDKL9Q9YP56VMU9,5.6,6.4,7.3,7.8,8.2,5.0,1.0,07-13-2022 08:50:12,5.6,6.4,7.3,7.8,8.2,5.0,1.0,07-13-2022 08:50:12,5.6,6.4,7.3,7.8,8.2,5.0,1.0,07-13-2022 08:50:12
V1.0.11-0.0.27,07-13-2022 08:50:12,07-13-2022 08:50:03,143456,05-07-2022 10:46:33,01-25-2022 17:50:55,07-13-2022 08:49:34,0,0,Junder22,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.00,-76,32501,316,15672,5,43.08963,-71.50244,619,3,0,0,0,100,100,100,64,64,None,76,76,None,990.67,990.67,None,None,None,0.01,5.8,5.4,6.2,5.8,5.8,7.7,7.5,8.0,7.7,7.7,4.9,4.9,5.0,8.0,7.7,8.2,8.0,8.0,16.9,16.4,17.4,11.1,10.9,11.3,128.7,131.3,126.1,1128,1094,1163,311,292,331,46,48,45,2,3,2,0,0,0,0,0,0,5.45,7.46,7.73,5.45,7.46,7.73,6.19,8.02,8.2,6.19,8.02,8.2,1640321,DUQ1DHALIEN6DQPZ,1640325,6S4L2IFWG5GLNKG5,1640323,SJBIKJUCN4Z46AL6,1640326,GEK1ZZUK8JCHMIDW,7.7,8.4,8.9,9.4,10.5,8.1,5.8,07-13-2022 08:50:12,7.7,8.4,8.9,9.4,10.5,8.1,5.8,07-13-2022 08:50:12,7.7,8.4,8.9,9.4,10.5,8.1,5.8,07-13-2022 08:50:12
V1.0.11-0.0.27,07-13-2022 08:50:12,07-13-2022 08:50:03,151702,07-08-2022 11:10:02,06-29-2022 08:29:07,07-13-2022 08:49:43,0,0,NHDES_katerr,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.00,-77,7138,225,15184,0,43.11861,-71.61618,885,3,0,0,0,100,100,100,53,53,None,84,84,None,980.26,980.26,None,None,None,0.01,5.0,5.2,4.9,5.0,5.0,7.4,7.7,7.0,7.4,7.4,5.3,5.5,5.2,7.5,7.9,7.0,7.5,7.5,19.0,18.7,19.3,11.9,11.8,12.0,119.0,120.4,117.6,1265,1244,1287,338,341,336,47,52,43,1,3,0,0,0,0,0,0,0,5.2,7.73,7.93,5.2,7.73,7.93,4.88,7.0,7.04,4.88,7.0,7.04,1784461,A0IJ036DV9SKCFLE,1784463,71A9CZ5UJ4YGTUQ2,1784462,E3XRJRWK9NZW79YP,1784464,NDDV7IN0FIAG3DCJ,7.4,8.4,9.2,9.4,10.4,8.1,2.2,07-13-2022 08:50:12,7.4,8.4,9.2,9.4,10.4,8.1,2.2,07-13-2022 08:50:12,7.4,8.4,9.2,9.4,10.4,8.1,2.2,07-13-2022 08:50:12
V1.0.11-0.0.27,07-13-2022 08:50:13,07-13-2022 08:50:03,151700,07-11-2022 09:59:26,06-29-2022 08:28:56,07-13-2022 08:50:02,0,0,"12 Noyes Street, Concord, NH",0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.00,-66,2824,308,15184,5,43.19211,-71.54146,286,3,0,0,0,100,100,100,64,64,None,76,76,None,1001.15,1001.15,None,None,None,0.01,6.1,6.4,5.8,6.1,6.1,9.1,8.9,9.3,9.1,9.1,6.4,6.4,6.4,9.6,8.9,10.2,9.6,9.6,21.8,22.3,21.3,12.9,13.0,12.7,107.9,106.2,109.6,1453,1484,1422,406,420,392,59,55,63,2,1,4,0,0,1,0,0,0,6.45,8.91,8.91,6.45,8.91,8.91,5.83,9.26,10.23,5.83,9.26,10.23,1784457,PB81KISBP3EXW7K9,1784459,YZIRVQBCBJ133NTL,1784458,9LG3IVPJL6DTYT6P,1784460,0R1GJAA1UYAHT6R9,9.1,10.2,11.0,11.4,11.2,6.9,1.4,07-13-2022 08:50:13,9.1,10.2,11.0,11.4,11.2,6.9,1.4,07-13-2022 08:50:13,9.1,10.2,11.0,11.4,11.2,6.9,1.4,07-13-2022 08:50:13
V1.0.11-0.0.27,07-13-2022 09:00:12,07-13-2022 09:00:09,151708,07-12-2022 14:18:17,06-29-2022 08:29:43,07-13-2022 08:58:23,0,0,NH1,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+BME680+PMSX003-B+PMSX003-A,35,7.00,-76,2866,308,15072,5,43.192066,-71.54151,288,3,0,0,0,100,100,100,64,65,63,78,78,79,1001.65,1001.31,1001.99,43.2,43.25,0.0,3.1,3.3,2.8,3.1,3.1,5.4,5.8,4.9,5.4,5.4,2.9,3.2,2.5,6.0,5.9,6.0,6.0,6.0,None,None,None,None,None,None,None,None,None,434,475,393,370,375,365,13,19,8,0,0,0,0,0,0,0,0,0,3.3,5.82,5.93,3.3,5.82,5.93,2.83,4.92,5.98,2.83,4.92,5.98,1784473,RECLPTF41NFVAGZS,1784475,F5P8XN29WYFV4N87,1784474,SX1Z89WJKRZTSAKK,1784476,7LDKL9Q9YP56VMU9,5.4,6.2,7.0,7.6,8.1,5.0,1.0,07-13-2022 09:00:12,5.4,6.2,7.0,7.6,8.1,5.0,1.0,07-13-2022 09:00:12,5.4,6.2,7.0,7.6,8.1,5.0,1.0,07-13-2022 09:00:12
V1.0.11-0.0.27,07-13-2022 09:00:12,07-13-2022 09:00:09,143456,05-07-2022 10:46:33,01-25-2022 17:50:55,07-13-2022 08:59:34,0,0,Junder22,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.00,-77,32511,281,15672,5,43.08963,-71.50244,619,3,0,0,0,100,100,100,61,61,None,76,76,None,990.13,990.13,None,None,None,0.01,5.4,5.0,5.7,5.4,5.4,6.9,6.6,7.2,6.9,6.9,4.7,4.7,4.6,7.0,6.9,7.2,7.0,7.0,16.2,16.0,16.4,10.8,10.7,10.9,132.5,133.6,131.3,1080,1066,1094,299,282,316,41,44,39,1,1,1,0,0,0,0,0,0,5.04,6.64,6.86,5.04,6.64,6.86,5.71,7.16,7.24,5.71,7.16,7.24,1640321,DUQ1DHALIEN6DQPZ,1640325,6S4L2IFWG5GLNKG5,1640323,SJBIKJUCN4Z46AL6,1640326,GEK1ZZUK8JCHMIDW,6.9,8.0,8.6,9.1,10.4,8.1,5.8,07-13-2022 09:00:12,6.9,8.0,8.6,9.1,10.4,8.1,5.8,07-13-2022 09:00:12,6.9,8.0,8.6,9.1,10.4,8.1,5.8,07-13-2022 09:00:12
V1.0.11-0.0.27,07-13-2022 09:00:13,07-13-2022 09:00:09,151702,07-08-2022 11:10:02,06-29-2022 08:29:07,07-13-2022 08:59:43,0,0,NHDES_katerr,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.00,-77,7148,221,15184,0,43.11861,-71.61618,885,3,0,0,0,100,100,100,49,49,None,85,85,None,980.28,980.28,None,None,None,0.01,4.9,4.8,5.0,4.9,4.9,7.1,7.6,6.5,7.1,7.1,5.2,5.5,4.9,7.4,8.4,6.5,7.4,7.4,19.3,19.3,19.4,12.0,12.0,12.0,117.5,117.6,117.3,1289,1287,1291,340,345,335,45,52,39,2,4,0,0,1,0,0,0,0,4.79,7.63,8.4,4.79,7.63,8.4,4.95,6.5,6.5,4.95,6.5,6.5,1784461,A0IJ036DV9SKCFLE,1784463,71A9CZ5UJ4YGTUQ2,1784462,E3XRJRWK9NZW79YP,1784464,NDDV7IN0FIAG3DCJ,7.1,7.8,8.8,9.2,10.4,8.1,2.2,07-13-2022 09:00:13,7.1,7.8,8.8,9.2,10.4,8.1,2.2,07-13-2022 09:00:13,7.1,7.8,8.8,9.2,10.4,8.1,2.2,07-13-2022 09:00:13
V1.0.11-0.0.27,07-13-2022 09:00:13,07-13-2022 09:00:09,151700,07-11-2022 09:59:26,06-29-2022 08:28:56,07-13-2022 09:00:02,0,0,"12 Noyes Street, Concord, NH",0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.00,-68,2834,264,15184,5,43.19211,-71.54146,286,3,0,0,0,100,100,100,64,64,None,76,76,None,1001.14,1001.14,None,None,None,0.01,6.4,6.6,6.2,6.4,6.4,9.0,8.3,9.7,9.0,9.0,6.1,5.7,6.6,9.3,8.4,10.2,9.3,9.3,22.0,22.4,21.6,12.9,13.0,12.8,107.2,105.9,108.6,1465,1491,1440,408,409,407,54,44,64,2,1,4,0,0,0,0,0,0,6.58,8.27,8.4,6.58,8.27,8.4,6.15,9.71,10.15,6.15,9.71,10.15,1784457,PB81KISBP3EXW7K9,1784459,YZIRVQBCBJ133NTL,1784458,9LG3IVPJL6DTYT6P,1784460,0R1GJAA1UYAHT6R9,9.0,9.8,10.8,11.2,11.2,6.9,1.4,07-13-2022 09:00:13,9.0,9.8,10.8,11.2,11.2,6.9,1.4,07-13-2022 09:00:13,9.0,9.8,10.8,11.2,11.2,6.9,1.4,07-13-2022 09:00:13
V1.0.11-0.0.27,07-13-2022 09:10:11,07-13-2022 09:09:15,151708,07-12-2022 14:18:17,06-29-2022 08:29:43,07-13-2022 09:08:23,0,0,NH1,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+BME680+PMSX003-B+PMSX003-A,35,7.00,-76,2876,272,15072,5,43.192066,-71.54151,288,3,0,0,0,100,100,100,62,63,62,78,78,79,1001.57,1001.25,1001.89,31.6,31.59,0.0,2.4,2.4,2.4,2.4,2.4,5.4,5.1,5.8,5.4,5.4,3.1,3.0,3.1,5.7,5.3,6.0,5.7,5.7,None,None,None,None,None,None,None,None,None,398,418,378,347,345,350,19,18,20,0,0,0,0,0,0,0,0,0,2.38,5.07,5.27,2.38,5.07,5.27,2.37,5.76,6.04,2.37,5.76,6.04,1784473,RECLPTF41NFVAGZS,1784475,F5P8XN29WYFV4N87,1784474,SX1Z89WJKRZTSAKK,1784476,7LDKL9Q9YP56VMU9,5.4,5.7,6.8,7.4,8.1,5.0,1.0,07-13-2022 09:10:11,5.4,5.7,6.8,7.4,8.1,5.0,1.0,07-13-2022 09:10:11,5.4,5.7,6.8,7.4,8.1,5.0,1.0,07-13-2022 09:10:11
V1.0.11-0.0.27,07-13-2022 09:10:12,07-13-2022 09:09:15,143456,05-07-2022 10:46:33,01-25-2022 17:50:55,07-13-2022 09:07:34,0,0,Junder22,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.00,-80,32519,264,15672,5,43.08963,-71.50244,619,3,0,0,0,100,100,100,60,60,None,78,78,None,990.79,990.79,None,None,None,0.01,5.6,5.2,6.0,5.6,5.6,7.7,7.1,8.4,7.7,7.7,5.2,4.9,5.6,7.9,7.5,8.4,7.9,7.9,17.7,17.2,18.3,11.4,11.2,11.6,124.7,127.3,122.1,1182,1146,1219,328,305,352,49,46,52,2,3,2,0,0,0,0,0,0,5.15,7.11,7.5,5.15,7.11,7.5,6.02,8.37,8.37,6.02,8.37,8.37,1640321,DUQ1DHALIEN6DQPZ,1640325,6S4L2IFWG5GLNKG5,1640323,SJBIKJUCN4Z46AL6,1640326,GEK1ZZUK8JCHMIDW,7.7,7.9,8.6,9.1,10.4,8.1,5.8,07-13-2022 09:10:12,7.7,7.9,8.6,9.1,10.4,8.1,5.8,07-13-2022 09:10:12,7.7,7.9,8.6,9.1,10.4,8.1,5.8,07-13-2022 09:10:12
V1.0.11-0.0.27,07-13-2022 09:10:12,07-13-2022 09:09:15,151702,07-08-2022 11:10:02,06-29-2022 08:29:07,07-13-2022 09:07:43,0,0,NHDES_katerr,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.00,-77,7156,228,15184,0,43.11861,-71.61618,885,3,0,0,0,100,100,100,47,47,None,85,85,None,980.29,980.29,None,None,None,0.01,5.1,5.0,5.1,5.1,5.1,7.1,7.2,7.0,7.1,7.1,5.4,5.5,5.2,7.6,8.1,7.2,7.6,7.6,18.7,18.8,18.5,11.8,11.8,11.7,120.4,119.9,121.0,1243,1252,1235,340,341,339,49,52,47,2,2,2,0,1,0,0,0,0,5.02,7.21,8.14,5.02,7.21,8.14,5.1,7.02,7.15,5.1,7.02,7.15,1784461,A0IJ036DV9SKCFLE,1784463,71A9CZ5UJ4YGTUQ2,1784462,E3XRJRWK9NZW79YP,1784464,NDDV7IN0FIAG3DCJ,7.1,7.6,8.6,9.1,10.4,8.1,2.2,07-13-2022 09:10:12,7.1,7.6,8.6,9.1,10.4,8.1,2.2,07-13-2022 09:10:12,7.1,7.6,8.6,9.1,10.4,8.1,2.2,07-13-2022 09:10:12
V1.0.11-0.0.27,07-13-2022 09:10:12,07-13-2022 09:09:15,151700,07-11-2022 09:59:26,06-29-2022 08:28:56,07-13-2022 09:08:02,0,0,"12 Noyes Street, Concord, NH",0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.00,-68,2842,307,15184,5,43.19211,-71.54146,286,3,0,0,0,100,100,100,62,62,None,77,77,None,1001.12,1001.12,None,None,None,0.01,5.9,6.2,5.7,5.9,5.9,8.2,7.9,8.5,8.2,8.2,5.9,5.4,6.5,8.5,8.1,8.8,8.5,8.5,20.6,20.7,20.6,12.5,12.5,12.4,112.3,112.1,112.5,1374,1377,1371,385,386,384,52,42,63,1,0,2,0,0,0,0,0,0,6.16,7.89,8.13,6.16,7.89,8.13,5.71,8.51,8.82,5.71,8.51,8.82,1784457,PB81KISBP3EXW7K9,1784459,YZIRVQBCBJ133NTL,1784458,9LG3IVPJL6DTYT6P,1784460,0R1GJAA1UYAHT6R9,8.2,9.3,10.4,11.0,11.2,6.9,1.4,07-13-2022 09:10:12,8.2,9.3,10.4,11.0,11.2,6.9,1.4,07-13-2022 09:10:12,8.2,9.3,10.4,11.0,11.2,6.9,1.4,07-13-2022 09:10:12
V1.0.11-0.0.27,07-13-2022 09:20:12,07-13-2022 09:19:20,151708,07-12-2022 14:18:17,06-29-2022 08:29:43,07-13-2022 09:18:23,0,0,NH1,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+BME680+PMSX003-B+PMSX003-A,35,7.00,-75,2886,299,15072,5,43.192066,-71.54151,288,3,0,0,0,100,100,100,62,63,61,78,78,79,1001.57,1001.26,1001.88,30.2,30.24,0.0,2.4,2.6,2.2,2.4,2.4,4.9,4.8,5.0,4.9,4.9,3.1,3.0,3.2,5.4,5.2,5.6,5.4,5.4,None,None,None,None,None,None,None,None,None,405,436,375,351,350,353,19,17,21,0,0,0,0,0,0,0,0,0,2.63,4.85,5.2,2.63,4.85,5.2,2.18,5.0,5.56,2.18,5.0,5.56,1784473,RECLPTF41NFVAGZS,1784475,F5P8XN29WYFV4N87,1784474,SX1Z89WJKRZTSAKK,1784476,7LDKL9Q9YP56VMU9,4.9,5.7,6.6,7.3,8.0,5.0,1.0,07-13-2022 09:20:12,4.9,5.7,6.6,7.3,8.0,5.0,1.0,07-13-2022 09:20:12,4.9,5.7,6.6,7.3,8.0,5.0,1.0,07-13-2022 09:20:12
V1.0.11-0.0.27,07-13-2022 09:20:12,07-13-2022 09:19:20,143456,05-07-2022 10:46:33,01-25-2022 17:50:55,07-13-2022 09:17:34,0,0,Junder22,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.00,-76,32529,268,15672,5,43.08963,-71.50244,619,3,0,0,0,100,100,100,58,58,None,79,79,None,990.82,990.82,None,None,None,0.01,5.2,4.5,5.9,5.2,5.2,7.0,6.4,7.6,7.0,7.0,5.0,4.8,5.2,7.3,6.4,8.3,7.3,7.3,16.9,16.1,17.7,11.1,10.7,11.4,129.0,133.2,124.7,1126,1071,1182,310,284,337,46,45,47,1,0,2,0,0,0,0,0,0,4.53,6.38,6.38,4.53,6.38,6.38,5.9,7.65,8.29,5.9,7.65,8.29,1640321,DUQ1DHALIEN6DQPZ,1640325,6S4L2IFWG5GLNKG5,1640323,SJBIKJUCN4Z46AL6,1640326,GEK1ZZUK8JCHMIDW,7.0,7.7,8.4,9.0,10.4,8.1,5.8,07-13-2022 09:20:12,7.0,7.7,8.4,9.0,10.4,8.1,5.8,07-13-2022 09:20:12,7.0,7.7,8.4,9.0,10.4,8.1,5.8,07-13-2022 09:20:12
